Station;NOM CRM
Narbonne Plage ;NARBONNE LITTORAL NARBONNE PLAGE
NARBONNE VILLE;NARBONNE VILLE
Narbonne-Plage;NARBONNE LITTORAL NARBONNE PLAGE
Notre-Dame-de-Bellecombe;NOTRE DAME DE BELLECOMBE
Ondres;0
Orcières;ORCIERES
Orcières 1850;ORCIERES
Orelle;ORELLE
Orléans;ORLEANS
Oz en Oisans;OZ EN OISANS
Oz-en-Oisans;OZ EN OISANS
PALAVAS LES FLOTS;PALAVAS
Palavas-les-Flots;0
Paris;PARIS
Passy;PASSY
Pays d'Evian - Lac;PAYS D'EVIAN - LAC
Pays d'Evian - Montagne;PAYS D'EVIAN - MONTAGNE
Peisey-Vallandry;PEISEY VALLANDRY
Pelvoux - Vallouise;LES ECRINS
Perpignan;PERPIGNAN-VILLE
PERPIGNAN LITTORAL AUTRES;PERPIGNAN LITTORAL AUTRES
PERPIGNAN-LES TERRES;PERPIGNAN-LES TERRES
Peyragudes;PEYRAGUDES
Pia;0
Piau Engaly;PIAU ENGALY
Plan-de-la-Tour;0
Plougrescant;0
Poitiers;LE GRAND POITIERS
PONT-ROYAL;PONT-ROYAL
PORNICHET;PORNICHET
Port Barcarès ;PERPIGNAN LITTORAL BARCARES
PORT EN BESSIN;PORT EN BESSIN
Port Leucate;NARBONNE LITTORAL LEUCATE
Port-Camargue;0
Portiragnes;PORTIRAGNES
Port-la-Nouvelle;NARBONNE LITTORAL PORT LA NOUVELLE
Pra Loup;PRALOUP
PRADES;0
Prailles-La Couarde;0
Pralognan-la-Vanoise;PRALOGNAN LA VANOISE
Praz de Lys;PRAZ DE LYS SOMMAND
Praz-sur-Arly;PRAZ SUR ARLY
PROPRIANO;PROPRIANO
PUGET SUR ARGENS;0
Puy-Saint-Vincent;PUY-ST-VINCENT
PUY-ST-VINCENT;PUY-ST-VINCENT
Pyrénées 2000;PYRENEES 2000
Ramatuelle;RAMATUELLE
REMOULINS;REMOULINS
Risoul;RISOUL
RONCE LES BAINS;0
ROQUEBRUNE;ROQUEBRUNE
ROYAN;ROYAN
SAINT ANDRE;0
SAINT AYGULF;SAINT AYGULF
Saint Chaffrey;SERRE CHEVALIER VILLENEUVE
Saint Colomban des Villards;SAINT COLOMBAN DES VILLARDS
Saint Cyprien  ;SAINT CYPRIEN
Saint Cyprien - Pyrénées Orientales;SAINT CYPRIEN
SAINT DENIS D'OLERON;0
SAINT GEORGES DE DIDONNE;0
SAINT GEORGES D'OLERON;SAINT GEORGES D'OLERON
Saint Jean de Luz - Saint Pée sur Nivelle;SAINT JEAN DE LUZ
Saint Jean de Maurienne;
SAINT JEAN DE MONTS;SAINT JEAN DE MONTS
Saint Jean de Sixt;SAINT-JEAN-DE-SIXT
SAINT JEAN PIED DE PORT;SAINT JEAN PIED DE PORT
Saint Lary;SAINT LARY
Saint Laurent de la Salanque;0
SAINT LAURENT DU VAR;SAINT LAURENT DU VAR
Saint Michel de Maurienne;SAINT MICHEL DE MAURIENNE
SAINT PALAIS SUR MER;SAINT PALAIS SUR MER
SAINT RAPHAEL;SAINT RAPHAEL
Saint Sorlin d'Arves;SAINT SORLIN D'ARVES
Saint Tropez ;SAINT TROPEZ
Saint-Bonnet-en-Champsaur;0
Saint-Chaffrey;SERRE CHEVALIER VILLENEUVE
Saint-Christol - Hérault;0
Saint-Colomban-des-Villards;SAINT COLOMBAN DES VILLARDS
Saint-Cyprien;SAINT CYPRIEN
Saint-Cyprien Plage;SAINT CYPRIEN
Sainte-Foy-Tarentaise;SAINTE-FOY TARENTAISE
Sainte-Marie-la-Mer - Sainte-Marie Plage;0
Sainte-Maxime;SAINTE MAXIME
Saint-François-Longchamp;SAINT FRANCOIS LONGCHAMP
Saint-Gervais Mont-Blanc;SAINT GERVAIS MONT BLANC
Saint-Gervais-les-Bains;SAINT GERVAIS MONT BLANC
SAINT-HILAIRE-DE-RIEZ;SAINT-HILAIRE-DE-RIEZ
Saint-Jean-d'Arves;SAINT JEAN D'ARVES
Saint-Jean-de-Luz;SAINT JEAN DE LUZ
Saint-Jean-de-Sixt;SAINT-JEAN-DE-SIXT
Saint-Jorioz;0
Saint-Lary-Soulan;SAINT LARY
Saint-Léger-les-Mélèzes;SAINT LEGER LES MELEZES
Saint-Martin-de-Belleville;SAINT-MARTIN-DE-BELLEVILLE SITE
Saint-Pierre-la-Mer ;NARBONNE LITTORAL SAINT PIERRE DE LA MER
Saint-Priest;0
Saint-Sorlin-d'Arves;SAINT SORLIN D'ARVES
Sallanches;SALLANCHES
Sallèles-d'Aude;0
Salses le château;0
Samoëns;SAMOENS
